Brand,Rating (1-10),Model,Type (ex. Student; Professional; Gaming; etc.),Price,CPU - Brand,Model - CPU,Cores - CPU,Speed (GHz),Speed Rating (1-10),RAM - GB,SSD (GB),Storage (1-10),GPU brand,GPU model,USB ports,other ports,OS,Disp. (in),Display - width and resolution height (pixels),Touchscreen,Weight (lbs),Hyperlink
Lenovo,10,"IdeaPad Slim 3i 15.6"" Laptop",Student,649,Intel,i5,10,1.3,2,16,512,8,Intel,Intel Iris Xe Graphics,2,,Windows,15.6,1920 x 1080,FALSE,3.53,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3i-15-6-laptop-arctic-grey-intel-core-i5-1335u-16gb-ram-512gb-ssd-windows-11/16948051
Acer,8,"Aspire 3 15.6"" Laptop",Student,599,AMD,Ryzen5 7520U,4,2.8,6,16,1024,10,Intel,Intel Iris Xe Graphics,2,,Windows,15.6,1920 x 1080,FALSE,3.92,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-amd-ryzen-5-7520u-512gb-ssd-16gb-ram-windows-11-home/17739399
Dell,5,inspiron,Student,549,Intel,i5,10,5,10,16,512,8,Intel,Intel Iris Xe Graphics,2,HDMI;  SD Card Reader,Windows,15.6,1920 x 1080,FALSE,3.64,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-6-laptop-carbon-black-intel-core-i5-1235u-16gb-ram-512gb-ssd-windows-11/17862173
HP,9,Asus X200CA Notebook,Student,999,Intel,i7,10,4.7,10,16,1024,10,Intel,Intel Iris Xe Graphics,3,HDMI,Windows,15.6,1920 x 1080,FALSE,3.51,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-intel-core-i7-1255u-16gb-ram-1tb-ssd-windows-11/17981254
Asus,8,Vivobook,Student,699,Intel,i7,10,1.7,5,16,512,8,Intel,Intel Iris Xe Graphics,3,HDMI,Windows,16,1920 x 1200,FALSE,4.14,https://www.bestbuy.ca/en-ca/product/asus-vivobook-16-16-laptop-indie-black-intel-core-i5-1335u-16gb-ram-1tb-ssd-windows-11-english/17937121
Asus,7,TUF i7,Gaming,999,Intel,i7,10,2.4,6,16,512,8,Nvidia,Nvidia RTX 4050 laptop,2,HDMI,Windows,15.6,1920 x 1080,FALSE,4.85,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-f15-15-6-144hz-gaming-laptop-intel-core-i7-13620h-16gb-ram-512gb-ssd-rtx-4050/17697537
Asus,8,TUF i5,Gaming,799,Intel,i5,12,2.5,6,16,512,8,Nvidia,Nvidia RTX 3050 laptop,2,HDMI,Windows,15.6,1920 x 1080,FALSE,4.85,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-f15-15-6-144hz-gaming-laptop-intel-core-i5-12500h-16gb-ram-512gb-ssd-rtx-3050/17697539
Apple,10,Macbook Air 2020,Professional,899.99,Apple M Series,M1,8,3.1,8,8,256,5,Apple,Integrated,2,,Windows,13.3,2560 x 1600,FALSE,2.84,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-3-w-touch-id-fall-2020-silver-apple-m1-chip-256gb-ssd-8gb-ram-en/15136915
Lenovo,10,IdeaPad Flex,Student,599,Intel,i313-15U,6,1.2,2,8,256,5,Intel,Integrated,3,,Windows,14,1920 x 1200,TRUE,3.48,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-flex-5i-14-touch-2-in-1-chromebook-plus-w-1-year-of-gemini-advanced-intel-core-i3-256gb-ssd-8gb-ram/17732152
Asus,9,ROG Strix G15,Gaming,999,AMD,Ryzen7 6800H,8,2.4,5,8,512,6,Nvidia,Nvidia RTX 3050 laptop,3,HDMI,Windows,15.6, 1920 x 1080,FALSE,4.63,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g15-15-6-gaming-laptop-eclipse-grey-amd-ryzen-7-6800h-8gb-ram-512gb-ssd-geforce-rtx-3050/18245883
Apple,10,Macbook Air 2022,Professional,1199.95,Apple M Series,M2,8,3.2,8,8,256,5,Apple,Integrated,2,Audio Jack;  MagSafe,Mac,13.6,2560 x 1664,FALSE,2.73,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-13-3-w-touch-bar-2022-silver-apple-m2-chip-256gb-ssd-8gb-ram-english/16282192
Acer,10,Predator Helios Neo,Gaming,1399,Intel,i7,16,5,10,16,1024,10,Nvidia,GeForce RTX 4050,4,HDMI 2.1;  DisplayPort;  Audio Jack,Windows,16,1920 x 1200,FALSE,5.73,https://www.bestbuy.ca/en-ca/product/acer-predator-helios-neo-16-gaming-laptop-intel-core-i7-13700hx-1tb-ssd-16gb-ram-geforce-rtx-4050/17717688
Dell,9,inspirion,Professional,1399.99,Intel,Ultra 9,16,5.1,10,32,1024,10,Intel,Arc Graphics,2,HDMI 1.4;  MicroSD;  Audio Jack,Windows,14, 2880 x 1800,FALSE,3.9,https://www.bestbuy.ca/en-ca/product/dell-insprion-14-laptop-ice-blue-intel-core-ultra-9-185h-32gb-ram-1tb-ssd-windows-11-home/17907738
Asus ,9,Zenbook S,Professional,1999.99,Intel,Ultra 7 - series 2,20,4.8,10,32,1024,10,Intel,Arc Graphics,1,Thunderbolt 4;  HDMI 2.1;  M.2 PCIe;  Audio Jack;  LAN,Windows,14,2880 x 1800,TRUE,2.65,https://www.bestbuy.ca/en-ca/product/asus-zenbook-s-14-14-touchscreen-laptop-intel-core-ultra-7-series-2-32gb-ram-1tb-ssd/18389564
Asus,9,TUF A15(2024),Gaming,1249.99,AMD,Ryzen 7,8,3.2,6,32,512,9,Nvidia,GeForce RTX 4050,4,HDMI 2.1;  Audio Jack,Windows,15.6,1920 x 1080,FALSE,4.85,https://www.bestbuy.ca/en-ca/product/asus-tuf-a15-2024-15-6-144hz-gaming-laptop-amd-ryzen-7-7735hs-512gb-ssd-32gb-ram-rtx-4050/17698114
Lenovo,9,IdeaPad Slim 3i ,Professional,1199.99,Intel,Core i7,10,1.7,3,16,512,8,Intel,Iris Xe graphics,3,Audio Jack,Windows,15.6,1920 x 1080,FALSE,3.53,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3i-15-6-laptop-arctic-grey-intel-core-i7-1355u-16gb-ram-512gb-ssd-windows-11/16948052
Alienware,4,Alienware Dark Metallic,Gaming,1999.99,Intel,Core Ultra 7,16,4.8,10,32,1024,10,Nvidia,GeForce RTX 4070,4,MicroSD;  HDMI 2.1;  Audio Jack,Windows,16,2560 x 1600,FALSE,12.39,https://www.bestbuy.ca/en-ca/product/alienware-16-gaming-laptop-dark-metallic-moon-intel-core-ultra-7-155h-32gb-ram-1tb-ssd-geforce-rtx-4070/17914591
Acer,6,Chromebook Plus Spin 714,Student,1099.99,Intel,CU5125U,12,4.3,9,16,512,8,Intel,Intel Graphics,3,HDMI 2.0;  Audio Jack,Chrome,14,1920 x 1200,TRUE,3.22,https://www.bestbuy.ca/en-ca/product/acer-chromebook-plus-spin-714-14-touchscreen-chromebook-steel-grey-cu5125u-16gb-ram-512gb-ssd-chrome-os/17985896
HP,9,Envy x360,Professional,1099.99,Intel,Core Ultra 5,12,4.3,9,16,1024,9,Intel,Intel Graphics,4,HDMI;  Thunderbolt 4;  SD Card Reader;  Audio Jack,Windows,15.6,1920 x 1080,TRUE,4.12,https://www.bestbuy.ca/en-ca/product/hp-envy-x360-15-6-touchscreen-2-in-1-laptop-mineral-silver-intel-core-ultra-5-125u-1tb-ssd-16gb-ram/17744996
Apple,8,MacBook pro with touch bar (2022),Professional,1299.95,Apple M Series,M2,8,3.2,8,8,256,5,Apple,Integrated,2,Audio Jack;  MagSafe,Mac,13.3,2560 x 1600,FALSE,3.09,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-13-3-w-touch-bar-2022-silver-apple-m2-chip-256gb-ssd-8gb-ram-french/16282203
